WO,"District
","Ward
","Date
","Shift
","Supervisor
",# Staff OR Contracted Crew,"Hours Worked
",# of Equipment (Dump Trucks),In-House/ Contractor (RAW),"Dump Truck Provider 
Contractor",Location,From ,To,"Type (Road Class/ School, Bridge)
","Equip. Method
","# Loads
","Tonnes 
(auto-populates)
","One Side/ Both Sides
","# Km
",Snow Dumped Site,__submission_id
21523122.0,SC,20,14-Feb-25,12:00 pm - 8:00 pm,Rafiqul Islam,1 crew,8,15.0,TOA1-2,TOA1-2,EB/ Kingston Rd,Victoria Park Ave,Warden Ave,"Arterial, Sidewalks, Bike Lanes (only a portion of the length)",Blower,39,390.0,One - South,1.33,Morningside,
21523395.0,SC,25,14-Feb-25,12:00 pm - 8:30 pm,L. Tulchinski / K. Daniel,1 crew,8.5,7.0,TOA1-1,TOA1-1,Kingston Rd,Port Union Rd,Ellesmere Rd,"Sidewalks,",Loader,15,150.0,One - North,0.9,Morningside,
21532793.0,TEY,14 & 13,18-Feb-25,7:00 pm - 7:00 am,Rafiqul Islam,1 crew,12,11.0,TOA1-2,TOA1-2,Bloor St E,Broadview Ave,Bayview Ave,"Arterial,  Sidewalks, Bridge, Bike Lane",Cameleon,29,290.0,One - North,0.39,Unwin,
21539672.0,SC,21/24,19-Feb-25,7:00 pm - 7:00 am,Kim Daniel/Leo Tulchinski,1 crew,12,9.0,TOA1-1,TOA1-1,Lawrence Ave - WB,Burnview Cres,McCowan Rd,"Arterial,  Sidewalks, Bridges",Loader,52,520.0,One - North,0.43,Morningside,
21545624.0,SC,25,20-Feb-25,7:00 pm - 7:00 am,Kim Daniel/Leo Tulchinski,1 crew,12,6.0,TOA1-1,TOA1-1,Lawrence Ave - WB,Overture Rd,Orton Park Rd,"Arterial,  Sidewalks, Bridges",Loader,48,480.0,One - North,0.51,Morningside,
,TEY,10,14-Feb-25,8:30 PM - 7:00 AM,Donovan Norville,1,10,17.0,DVP-FGGE,Emcon,FGGE,DVP,Spadina,Expressway,FEL w/Blower,60,600.0,North side,3.76,Unwin,
21544981.0,TEY,13,20-Feb-25,7:00 pm - 7:00 am,Rafiqul Islam,1,12,9.0,TOA1-2,TOA1-2,Bloor St E,Parliament St,Sherbourne St,"Arterial, Sidewalks,Bike Lanes",Cameleon,33,330.0,One,0.5,Unwin,
21541530.0,SC,25,20-Feb-25,7:00 am - 7:00 pm,Tran To,1 crew,12,10.0,TOA1-1,TOA1-1,Lawrence Ave E - EB,E of Orton Park Rd,Galloway Rd,"Arterial,  Sidewalks, Bridges",Loader,49,490.0,One - South,0.61,Morningside,
,TEY,10,2-Mar-25,,,,,,,,Cooper St,Queens Quay E,Lakeshore Blvd E,Local,,,0.0,,0.21,,
,TEY,10,2-Mar-25,,,,,,,,Lower Jarvis St,Queens Quay E,Lakeshore Blvd E,Local,,,0.0,,0.17,,
21546729.0,SC,25,21-Feb-25,7:00 am - 5:00 pm,Tran To,1 crew,10,8.0,TOA1-1,TOA1-1,Kingston Rd,Altona Rd (Pickering Border),West of Rouge Campgrounds,"Arterial,  Sidewalks, Bridges",Loader,31,310.0,One - South,0.55,Morningside,
21544946.0,SC,20,20-Feb-25,7:00 pm - 7:00 am,Lorenzo Dasilva,1,12,14.0,TOA1-2,TOA1-2,Kingston Rd,Midland Ave,Fenwood Heights,"Arterials & Sidewalks,",Blower,179,1790.0,One - South,2.35,Morningside,
,TEY,10,2-Mar-25,,,,,,,,Richardson St,Queens Quay E,Lakeshore Blvd E,Local,,,0.0,,0.16,,
,TEY,10,2-Mar-25,,,,,,,,Bonnycastle St,Queens Quay E,Lakeshore Blvd E,Local,,,0.0,,0.12,,
,SC,9,6-Mar-25,6:00 PM - 6:00 AM,Donovan Norville,5,9,,TOA1-4,King,Rogers Rd,McRoberts Ave,Earls Court Ave,Arterial,,12,120.0,S,0.51,Transit Rd,
,TEY,10,19-Feb-25,8:00 PM - 6:30 AM,Donovan Norville,7,10.5,10.0,DVP-FGGE,DVP-FGGE,FGGE,Spadina Ave,Javis st,Expressway,Blower,59,590.0,South,1.97,Unwin,
,TEY,10,2-Mar-25,,,,,,,,Small St,Queens Quay E,Lakeshore Blvd E,Local,,,0.0,,0.09,,
21546484.0,SC,25,21-Feb-25,7:00 am - 7:00 pm,Tran To,1 crew,12,10.0,TOA1-1,TOA1-1,Lawrence Ave - WB,Meadowvale Rd,Beechgrove Dr,"Arterial,  Sidewalks, Bridges",Loader,57,570.0,One - North,0.47,Morningside,
,TEY,13,2-Mar-25,,,,,,,,Wilton St,Market St,Lower Jarvis St,Local,,,0.0,,0.06,,
21546703.0,SC,25,21-Feb-25,7:00 pm - 7:00 am,Kim Daniel,1 crew,11,11.0,TOA1-1,TOA1-1,Lawson Rd Off Ramp,Kingston Rd,Highland Creek Overpass,"Arterial,  Sidewalks, Bridges",Loader,16,160.0,Both - West & East,0,,
,TEY,19,24-Feb-25,7:00 AM - 5:00 PM,Marc Cerqua,13,10,13.0,TOA1-3,TOA1-3,Main St,Gerrard St,Danforth Ave,,Blower,32,320.0,Both sides,0.96,Unwin,
,TEY,10/13,2-Mar-25,,,,,,,,The Esplanade,Yonge St,Jarvis,Local,,,0.0,,0.5,,
,TEY,14,22-Feb-25,6:30 AM - 6:30 PM,Wyatt Cerqua,15,12,15.0,TOA1-3,TOA1-3,Mortimer Ave,Roosevelt Rd,Coxwell Ave,MSSR Arterial / Sidewalk,Loader,28,280.0,S,0.24,Unwin,
21541515.0,SC,20,20-Feb-25,7:00 am - 7:00 pm,Antonio Benavidez,16,12,10.0,TOA1-2,TOA1-2,Kingston Rd,Cliffside Dr,Midland Ave,"Arterial, Sidewalks,",Blower,74,740.0,One - South,0.9,Morningside,
21546703.0,SC,21/24,21-Feb-25,7:00 am - 5:00 pm,Tran To,1 crew,10,5.0,TOA1-1,TOA1-1,McCowan Rd,Corporate Dr,Corporate Dr WB Hwy 401 On Ramp,"Arterial,  Sidewalks, Bridges",Loader,0,0.0,One - East,0.36,Morningside,
,TEY,13,2-Mar-25,,,,,,,,Scott St,The Esplanade,Colborne St,Local,,,0.0,,0.28,,
,TEY,13,2-Mar-25,,,,,,,,Church St,Front St E,The Esplanade,Local,,,0.0,,0.13,,
,TEY,10/13/14,20-Feb-25,8:00 PM - 5:30 AM,Donovan Norville,1 crew,9.5,19.0,DVP-FGGE,DVP-FGGE,DVP Southbound,Bayview Ave,FGGE - Jarvis St,Expressway,,56,560.0,West side,5.47,Unwin,
21550615.0,SC,25,22-Feb-25,7:00 am - 5:00 pm,Tran To,1 crew,10,4.0,TOA1-1,TOA1-1,Kingston Rd over Rouge River,Graham Farm Ln,200 m E/of Altona Rd,"Arterial,  Sidewalks, Bridges",Loader,33,330.0,One - South,0.73,Morningside,
21550606.0,SC,25,22-Feb-25,7:00 am - 7:00 pm,Varouj Sorfazlian,1 crew,12,8.0,TOA1-1,TOA1-1,Kingston Road,Old Kingston Road,Morningside Avenue,"Arterial,  Sidewalks,",Blower,41,410.0,One - North,0.49,Morningside,
21550610.0,SC,24,22-Feb-25,7:00 am - 5:00 pm,Tran To,1 crew,10,4.0,TOA1-1,TOA1-1,Markham Rd over East Highland Creek,Progress Ave ,1275 Markham Rd,"Arterial,  Sidewalks, Bridges",Loader,23,230.0,One - East,0.1,Morningside,
,TEY,10,2-Mar-25,,,,,,,,Piper St,Entire Street,Entire Street,Local,,,0.0,,0.17,,
,TEY,13,2-Mar-25,,,,,,,,Jordan St,Entire Street,Entire Street,Local,,,0.0,,0.06,,
,TEY,14/19,24-Feb-25,7:00 AM - 4:30 PM,John Alphonso,1 crew,9.5,17.0,DVP-FGGE,DVP-FGGE,O'Connor Dr,Pape Ave,Hutton Ave,MSSR Arterial,Blower,51,510.0,S,1.91,Unwin,
,TEY,13,2-Mar-25,,,,,,,,Colborne St,Entire Street,Entire Street,Local,,,0.0,,0.37,,
,TEY,19,25-Feb-25,7:00 AM - 3:00 PM,John Alphonso,1 crew,8,6.0,DVP-FGGE,DVP-FGGE,O'Connor Dr,Coxwell Ave,Woodbine Ave,MSSR Arterial,Blower,33,330.0,South,0.87,Unwin,
,TEY,14,26-Feb-25,7:00 AM - 1:15 PM,John Alphonso,1 Crew,6.25,16.0,DVP-FGGE,DVP-FGGE,Donlands Ave,Plains Rd,O'Connor Dr,MSSR Arterial,Blower,22,220.0,East,0.2,Unwin,
,TEY,19,2-Mar-25,7:00 AM - 5:00 PM,John Alphonso,1 Crew,10,18.0,DVP-FGGE,DVP-FGGE,O'Connor Dr,Glenwood Cres,St. Clair Ave E,Arterial,Blower,36,360.0,E,0.38,Unwin,
21552124.0,SC,25,22-Feb-25,7:00 pm - 7:00 am,Kim Daniel,1 crew,12,12.0,TOA1-1,TOA1-1,Morningside Ave,Bridge over Highland Creek,South of Ellesmere Rd,"Arterial,  Sidewalks, Bridges",Loader,17,170.0,One - East,0.55,Morningside,
21552838.0,SC,24,23-Feb-25,7:00 am - 5:00 pm,Tran To,1 crew,10,9.0,TOA1-1,TOA1-1,(continuation) Corporate Dr,Consillium Pl,88 Corporate Dr,"Collector, Sidewalks,",Loader,20,200.0,One - North,0,Morningside,
,TEY,14,4-Mar-25,7:00 AM - 5:00 PM,John Alphonso,1 Crew,10,16.0,DVP-FGGE,DVP-FGGE,Plains Rd,Donlands Ave,Coxwell Ave,,Blower,24,240.0,South,1.13,Unwin,
,TEY,19,6-Mar-25,7:00 AM - 12:00 PM,James Rooney,1 Crew,5,11.0,DVP-FGGE,DVP-FGGE,Roseheath Ave,Danforth Ave,Stacy Ave,local,blower,15,150.0,e,0.253,Unwin,
21552840.0,SC,25,23-Feb-25,7:00 am - 5:00 pm,Tran To,1 crew,10,11.0,TOA1-1,TOA1-1,(continuation) Kingston Rd bridge over Rouge River,200 m E/of Altona Rd,Altona Rd,"Arterial,  Sidewalks, Bridges",Loader,49,490.0,One - South,0.2,Morningside,
,TEY,13,2-Mar-25,,,,,,,,Toronto St,Adelaide St E,King St E,Local,,,0.0,,0.14,,
,TEY,13,2-Mar-25,,,,,,,,Court St,Church St,Toronto St,Local,,,0.0,,0.13,,
,TEY,13,2-Mar-25,,,,,,,,Lombard St,Jarvis St,Victoria St,Local,,,0.0,,0.4,,
21554285.0,SC,25,23-Feb-25,7:00 pm - 7:00 am,Kim Daniel,1 crew,12,16.0,TOA1-1,TOA1-1,Kingston Rd,Markham Rd,Scarborough Golf Club R,"Arterial, Sidewalks",Loader,62,620.0,One - South,1,Morningside,
,TEY,13,2-Mar-25,,,,,,,,Berti St,Queen St E,Richmond St ,Local,,,0.0,,0.07,,
,TEY,13,2-Mar-25,,,,,,,,Victoria St,Queen St E,Colborne St,Local,,,0.0,,0.45,,
21552836.0,SC,25,23-Feb-25,7:00 am - 7:00 pm,Varouj Sorfazlian,1 crew,12,12.0,TOA1-1,TOA1-1,Morningside Ave,Hwy 401 EB Off Ramp,Ellesmere Rd,"Arterial,  Sidewalks,",Blower,49,490.0,One - West,1.08,Morningside,
21554249.0,SC,25,23-Feb-25,7:00 pm - 7:00 am,Kim Daniel,1 crew,12,11.0,TOA1-1,TOA1-1,Neilson Rd bridge over Milner Ave,North of Bridge,Hwy 401 Overpass,"Arterial, Sidewalks, Bridges",Loader,21,210.0,Both - West & East,0.27,Morningside,
,TEY,10/13,2-Mar-25,,,,,,,,Market St,Front St E,Wilton St,Local,,,0.0,,0.16,,
,TEY,10/13,2-Mar-25,,,,,,,,Cherry St,Lakeshore Blvd E,Eastern Ave,Local,,,0.0,,0.53,,
,TEY,13,2-Mar-25,,,,,,,,Sumach St,Eastern Ave,Queen St E,Local,,,0.0,,0.34,,
,TEY,13,2-Mar-25,,,,,,,,Trinity St,Eastern Ave,Mill St,Local,,,0.0,,0.35,,
21554994.0,SC,25,24-Feb-25,7:00 am - 5:00 pm,Tran To,1 crew,10,11.0,TOA1-1,TOA1-1,(continuation) Port Union Rd bridge over Hwy 401,Island Rd,Kingston Rd,"Arterial, Sidewalks, Bridges",Loader,58,580.0,One - East,0.2,Morningside,
21554992.0,SC,24,24-Feb-25,7:00 am - 4:00 pm,Tran To,1 crew,9,9.0,TOA1-1,TOA1-1,(continuation) Progress Ave bridge over Hwy 401,Hwy 401 EB On Ramp,Just north of Bridge,"Arterial, Sidewalks, Bridges",Loader,40,400.0,Both - East & West,0.7,Morningside,
,TEY,10/13,2-Mar-25,,,,,,,,Mill St,Entire Street,Entire Street,Local,,,0.0,,0.79,,
21554988.0,SC,25,24-Feb-25,7:00 am - 6:00 pm,Varouj Sorfazlian,1 crew,11,12.0,TOA1-1,TOA1-1,Conlins Rd,Hwy 401 Overpass (North Leg),Ellesmere Rd,"Collector, Bridges, Bike Lane",Blower,51,510.0,Both - West & East,2.6,Morningside,
,TEY,19,7-Mar-25,7:00 AM - 12:00 PM,John Alphonso,1 Crew,5,11.0,DVP-FGGE,DVP-FGGE,Woodrow Ave,Coxwell,Hillingdon,local,loader,7,70.0,Both sides,0.282,Unwin,
21558388.0,SC,23,24-Feb-25,7:00 pm - 7:00 am,Kim Daniel,1 crew,12,14.0,TOA1-1,TOA1-1,Markham Rd,Finch Ave E,Nashdene Rd,"Arterial, Sidewalks, Bridges",Blower,17,170.0,Both - East & West,1.5,Morningside,
21532496.0,SC,20/21/24,19-Feb-25,7:00 am - 7:00 pm,Tran To,1 crew,12,8.0,TOA1-1,TOA1-1,Lawrence Ave - EB,McCowan Rd,Burnview Cres,"Sidewalks, Bridge",Loader,17,170.0,One - South,0.43,Morningside,
,TEY,13,2-Mar-25,,,,,,,,Front St E,Parliament St,Bayview Ave,Local,,,0.0,,0.75,,
,TEY,13,2-Mar-25,,,,,,,,Eastern Ave,St Lawrence St,Eastern Ave,Local,,,0.0,,0.18,,
21559050.0,SC,23,25-Feb-25,7:00 am - 7:00 pm,Varouj Sorfazlian,1 crew,12,6.0,TOA1-1,TOA1-1,(continuation) Markham Rd over CN Rails,S/of Finch Ave E,N/of McLevin Ave,"Arterial, Sidewalks, Bridges",Blower,35,350.0,One - West,1.2,Morningside,
,TEY,13,2-Mar-25,,,,,,,,St Lawrence St,Eastern Ave,King St E,Local,,,0.0,,0.22,,
,TEY,13,2-Mar-25,,,,,,,,Bayview Ave,King St,Front St,Local,,,0.0,,0.52,,
,TEY,14,4-Mar-25,,,,,,,,Coxwell Ave,O'Connor Dr,Taylor Dr,,,,0.0,,0.25,,
21559065.0,SC,25,25-Feb-25,7:00 am - 5:00 pm,Tran To,1 crew,10,8.0,TOA1-1,TOA1-1,(continuation) Meadowvale Rd over Hwy 401,-,-,"Arterial, Sidewalks, Bridges",Loader,49,490.0,One - West,,Morningside,
21559054.0,SC,24,25-Feb-25,7:00 am - 5:00 pm,Tran To,1 crew,10,2.0,TOA1-1,TOA1-1,Polling Sites: 91 Eastpark Blvd,-,-,"Local, Sidewalks",Loader,9,90.0,Both - East & West,0.05,Morningside,
21562246.0,SC,24,26-Feb-25,7:00 am - 5:00 pm,Tran To,1 crew,5.5,4.0,TOA1-1,TOA1-1,(continuation) Ellesmere Rd Over East Highland Creek,-,-,"Arterial, Sidewalks, Bridges",Loader,,0.0,One - North,0.4,Morningside,
21562243.0,SC,25,26-Feb-25,7:00 am - 2:00 pm,Varouj Sorfazlian,1 crew,7,6.0,TOA1-1,TOA1-1,(continuation) Sheppard Ave E,Rainbow Ridge Ave,Vandorf St,"Arterial, Sidewalks, Bridges",,,,One - South,0.75,Morningside,
,TEY,14,6-Mar-25,,,,,,,,Lesmount Ave,Cosburn Ave,Memorial Park Ave,Local,,,0.0,,0.2,,
21539672.0,SC,21/24,19-Feb-25,7:00 pm - 7:00 am,Kim Daniel/Leo Tulchinski,,,,TOA 1-1,TOA1-1,McCowan Rd - NB,Lawrence Ave,Benleigh Dr,"Arterial,  Sidewalks, Bridges",,,,One - East,0.32,Morningside,
21562240.0,SC,22,26-Feb-25,7:00 am - 1:00 pm,Tran To,1 crew,6,2.0,TOA1-1,TOA1-1,Polling Sites: 2743 Victoria Park Ave,-,-,"Local, Sidewalks",Loader,3,30.0,Both - East & West,0.05,Morningside,
21539672.0,SC,21/24,19-Feb-25,7:00 pm - 7:00 am,Kim Daniel/Leo Tulchinski,,,,TOA 1-1,TOA1-1,McCowan Rd - SB,Benleigh Dr,Lawrence Ave,"Arterial,  Sidewalks, Bridges",,,,One - West,0.32,Morningside,
21571648.0,SC,24,2-Mar-25,7:00 am - 6:00 pm,Tran To,1 crew,11,1.0,TOA1-1,TOA1-1,Kingston Rd,Scarborough Golf Club Rd,Kitchener Rd,"Arterial, Sidewalks",Blower,35,350.0,One- South,2.81,Morningside,
21572352.0,SC,24/25,2-Mar-25,7:00 am - 6:00 pm,Tran To,1 crew,11,8.0,TOA1-1,TOA1-1,Kingston Rd,Kitchener Rd,Beechgrove Dr,"Arterial, Sidewalks",Blower,43,430.0,One- South,1.8,Morningside,
21545624.0,SC,25,20-Feb-25,7:00 pm - 7:00 am,Kim Daniel/Leo Tulchinski,,,,TOA 1-1,TOA1-1,Galloway Rd - NB,Lawrence Ave,Camps Ln,"Collector, Sidewalks,",,,,One - East,0.23,Morningside,
21545624.0,SC,25,20-Feb-25,7:00 pm - 7:00 am,Kim Daniel/Leo Tulchinski,,,,TOA 1-1,TOA1-1,Galloway Rd - SB,Camps Ln,Lawrence Ave,"Collector, Sidewalks,",,,,One - West,0.25,Morningside,
21539350.0,SC,20,19-Feb-25,7:00 pm - 7:00 am,Lorenzo Dasilva,1 crew,12,13.0,TOA1-2,TOA1-2,Kingston Rd,Birchcliff Ave,Cliffside Dr,"Arterial,  Sidewalks,",Blower,62,620.0,One - South,1.72,Morningside,
21549614.0,TEY,11,21-Feb-25,7:00 pm - 7:00 am,Rafiqul Islam,1 crew,5.5,6.0,TOA1-2,TOA1-2,Bloor St E,Sherbourne St,Ted Rogers Way,"Arterial, Sidewalks, Bike Lanes",Cameleon,14,140.0,One - North,0.315,Unwin,
21546441.0,TEY,20,21-Feb-25,7:00 am - 7:00 pm,Antonio Benavidez,1 crew,12,9.0,TOA1-2,TOA1-2,Kingston Rd,Fenwood Hts,Bellamy Rd S,"Arterial & Sidewalks,",Blower,28,280.0,One - South,0.8,Morningside,
21571752.0,SC,22/23,2-Mar-25,7:00 am - 7:00 pm,Varouj Sorfazlian,1 crew,12,6.0,TOA1-1,TOA1-1,Steeles Ave E,Kennedy Rd,Brimley Rd,Bike Lanes,Cameleon,9,207.0,One- South,1.66,Morningside,
21572965.0,SC,25,3-Mar-25,7:00 am - 7:00 pm,Tran To,1 crew,12,8.0,TOA1-1,TOA1-1,Kingston Rd,Beechgrove Dr,Lawson Rd,"Arterial, Sidewalks",Blower,28,280.0,Both - North (km for N side only) & South (previously accounted for Feb 21),revisited,Morningside,
21545624.0,SC,25,20-Feb-25,7:00 pm - 7:00 am,Kim Daniel/Leo Tulchinski,,,,TOA 1-1,TOA1-1,Lawrence Ave - EB,East of Beechgrove Dr,Overpass,"Arterial,  Sidewalks, Bridges",,,,One - South,0.52,Morningside,
21541530.0,SC,25,20-Feb-25,7:00 am - 7:00 pm,Tran To,,,,TOA 1-1,TOA1-1,Lawrence Ave E,Galloway Rd,Overture Rd,"Arterial,  Sidewalks, Bridges",,,,One - South,0.76,Morningside,
21546703.0,SC,25,21-Feb-25,7:00 pm - 7:00 am,Kim Daniel,,,,TOA 1-1,TOA1-1,Highland Creek Overpass,Lawson Rd Off Ramp,Old Kingston Rd,"Arterial,  Sidewalks, Bridges",,,,Both - East & West,0.54,Morningside,
21572971.0,SC,24,3-Mar-25,7:00 am - 5:00 pm,Tran To,1 crew,10,5.0,TOA1-1,TOA1-1,Orton Park Rd,Ellesmere Rd,Brimorton Dr,"Arterial, Sidewalks",Loader,27,270.0,One - West,1.27,Morningside,
21572977.0,SC,24,3-Mar-25,7:00 am - 4:00 pm,Tran To,1 crew,9,4.0,TOA1-1,TOA1-1,Markham Rd over West Highland Creek,S/of Eastpark Blvd,,"Arterial, Sidewalks, Bridges",Loader,21,210.0,Both - North & South,0.05,Morningside,
21546484.0,SC,25,21-Feb-25,7:00 am - 7:00 pm,Tran To,,,,TOA 1-1,TOA1-1,Kingston Rd / Hwy 2A,Beechgrove Dr,Lawson Rd Off Ramp,"Arterial,  Sidewalks, Bridges",,,,One - South,0.5,Morningside,
21572981.0,SC,23,3-Mar-25,7:00 am - 12:00 pm,Tran To,1 crew,5,0.0,TOA1-1,TOA1-1,Steeles Ave E,Fenton Ave,Kennedy Rd,"Arterial, Sidewalks",Cameleon,0,0.0,One - North,1.29,Morningside,
21574591.0,SC,24/25,3-Mar-25,7:00 pm - 6:00 am,Kim Daniel,1 crew,11,8.0,TOA1-1,TOA1-1,Kingston Rd,Lawrence Ave E,"Top of bridge, east of Cromwell Rd","Arterial, Sidewalks",Blower,43,430.0,One- North,1.81,Morningside,
21549551.0,SC,20,21-Feb-25,7:00 pm - 7:00 am,Lorenzo Dasilva,1 crew,12,12.0,TOA1-2,TOA1-2,Kingston Rd,Bellamy Rd S,Markham Rd ,"Arterial, Sidewalks,",Blower,79,790.0,One - South,1,Morningside,
21546350.0,SC,21,21-Feb-25,7:00 am - 5:00 pm,Antonio Benavidez,1 crew,`0,0.0,TOA1-2,TOA1-2,Lawerence Ave ,Kennedy Rd,Midland Ave,"Arterial,  Sidewalks, Bridges",Loader,0,0.0,One - South,0,,
21546703.0,SC,25,21-Feb-25,7:00 pm - 7:00 am,Kim Daniel,,,,TOA 1-1,TOA1-1,Kingston Rd bridge over Highland Creek,Military Trl,West side of Bridge,"Arterial,  Sidewalks, Bridges",,,,One - North,0.4,Morningside,
21546703.0,SC,21/24,21-Feb-25,7:00 am - 5:00 pm,Tran To,,,,TOA 1-1,TOA1-1,McCowan Rd,Hwy 401 On Ramp,Corporate Dr Overpass,"Arterial,  Sidewalks, Bridges",,,,One - West,0.35,Morningside,
21546703.0,SC,25,21-Feb-25,7:00 pm - 7:00 am,Kim Daniel,,,,TOA 1-1,TOA1-1,Old Kingston Rd bridge over Highland Creek,Military Trl,West side of Bridge,"Collector, Sidewalks, Bridges",,,,Both - North & South,0.78,Morningside,
21550610.0,SC,24,22-Feb-25,7:00 am - 5:00 pm,Tran To,,,,TOA 1-1,TOA1-1,Corporate Dr,Consillium Pl,88 Corporate Dr,"Collector, Sidewalks, Bridges",,,,One - North,0.16,Morningside,
21550610.0,SC,24,22-Feb-25,7:00 am - 5:00 pm,Tran To,,,,TOA 1-1,TOA1-1,Markham Rd over East Highland Creek,Progress Ave ,McDonalds Dwy S/of Progress,"Arterial,  Sidewalks, Bridges",,,,One - West,0.08,Morningside,
21575219.0,SC,24,4-Mar-25,7:00 am - 7:00 pm,Tran To,1 crew,12,8.0,TOA1-1,TOA1-1,Kingston Rd,Celeste Dr,Cromwell Rd,"Arterial, Sidewalks",Blower,49,490.0,One - North,revisited,Morningside,
21550606.0,SC,25,22-Feb-25,7:00 am - 7:00 pm,Varouj Sorfazlian,,,,TOA 1-1,TOA1-1,Morningside Ave,Kingston Rd (intersection),,"Arterial,  Intersection",,,,Both - West & East,0.08,Morningside,
21550606.0,SC,25,22-Feb-25,7:00 am - 7:00 pm,Varouj Sorfazlian,,,,TOA 1-1,TOA1-1,Morningside Ave,Kingston Rd,Ellesmere Rd,"Arterial,  Sidewalks, Bridges",,,,One - East,1.68,Morningside,
21552124.0,SC,25,22-Feb-25,7:00 pm - 7:00 am,Kim Daniel,,,,TOA 1-1,TOA1-1,Morningside Ave bridge over Hwy 401,Pan Am Dr,Sheppard Ave E,"Arterial,  Sidewalks, Bridges",,,,One - East,1.15,Morningside,
21575221.0,SC,24,4-Mar-25,7:00 am - 5:00 pm,Tran To,1 crew,10,4.0,TOA1-1,TOA1-1,Orton Park Rd,Brimorton Dr,Lawrence Ave E,"Arterial, Sidewalks",Loader,26,260.0,One - West,0.86,Morningside,
21575224.0,SC,24,4-Mar-25,7:00 am - 4:00 pm,Tran To,1 crew,9,4.0,TOA1-1,TOA1-1,Sheppard Ave E over East Highland Creek,E/of McCowan Rd,,"Arterial, Sidewalks, Bridges",Loader,21,210.0,Both - North & South,revisited,Morningside,
21549882.0,SC,25,22-Feb-25,7:00 pm - 7:00 am,Kim Daniel,,,,TOA 1-1,TOA1-1,Morningside Ave bridge over Hwy 401,Sheppard Ave E,Hwy 401 EB Off Ramp,"Arterial,  Sidewalks, Bridges",,,,One - West,0.73,Morningside,
21552840.0,SC,25,23-Feb-25,7:00 am - 5:00 pm,Tran To,,,,TOA 1-1,TOA1-1,(in progress) Port Union Rd bridge over Hwy 401,Kingston Rd,"Hwy 401, E/bound ramp","Arterial,  Sidewalks, Bridges",,,,One - West,0.24,Morningside,
21552838.0,SC,23/24,23-Feb-25,7:00 am - 5:00 pm,Tran To,,,,TOA 1-1,TOA1-1,(in progress) Progress Ave bridge over Hwy 401,DW of 937 Progress Ave,Hwy 401 EB On Ramp,"Arterial,  Sidewalks, Bridges",,,,One - East,0.35,Morningside,
21554249.0,SC,25,23-Feb-25,7:00 pm - 7:00 am,Kim Daniel,,,,TOA 1-1,TOA1-1,Cinemart Dr bridge over Hwy 401 WB On Ramp,Morningside Ave,First driveway west of Bridge,"Arterial, Sidewalks, Bridges",,,,One - North,0.17,Morningside,
21577225.0,SC,24,4-Mar-25,3:30 pm - 11:30 pm,Kim Daniel,1 crew,8,0.0,TOA1-1,TOA1-1,Military Trl,Highcastle Rd,Ellesmere Rd,"Arterial, Sidewalks, Bridges",Blower,0,0.0,Both - East & West,1.64,Morningside,
21554249.0,SC,25,23-Feb-25,7:00 pm - 7:00 am,Kim Daniel,,,,TOA 1-1,TOA1-1,Conlins Rd bridge over Hwy 401,South of bridge,North of bridge,"Arterial, Sidewalks, Bridges",,,,Both - West & East,0.46,Morningside,
21552836.0,SC,25,23-Feb-25,7:00 am - 7:00 pm,Varouj Sorfazlian,,,,TOA 1-1,TOA1-1,Morningside Ave,Ellesmere Rd,Opp. Beath St,"Arterial,  Sidewalks, Bridges",,,,One - West,1.23,Morningside,
21552836.0,SC,25,23-Feb-25,7:00 am - 7:00 pm,Varouj Sorfazlian,,,,TOA 1-1,TOA1-1,Morningside Ave,Opp. Beath St,Kingston Rd,"Arterial,  Sidewalks,",,,,One - West,0.73,Morningside,
21546340.0,SC,21/22,21-Feb-25,7:00 am - 5:00 pm,Marco Roman,1 crew,10,0.0,TOA1-2,TOA1-2,Victoria Park Ave,over 401,,"Arterial,  Sidewalks, Bridges",Loader,0,0.0,One - East,0.65,Morningside,
21550501.0,SC,20,22-Feb-25,7:00 am - 7:00 pm,Antonio Benavidez,1 crew,12,14.0,TOA1-2,TOA1-2,Kingston Rd,Markham Rd,McCowan Rd,Arterials & Sidewalks,Blower,103,1030.0,One - North,1.95,Morningside,
21550375.0,SC,21/22,22-Feb-25,7:00 am - 7:00 pm,Marco Roman,1 crew,10,0.0,TOA1-2,TOA1-2,Victoria Park Ave @ Hwy 401,Consumers Rd,Farm Greenway,Bridge,Loader,0,0.0,One - West,0.851,,
21550368.0,SC,21,22-Feb-25,7:00 am - 7:00 pm,Marco Roman,1 crew,11,6.0,TOA1-2,TOA1-2,Lawrence Ave E ,Kennedy Rd,Midland Ave,Bridge,Loader,45,450.0,Both,1.64,Morningside,
21551785.0,SC,20,22-Feb-25,7:00 pm - 7:00 am,Lorenzo DaSilva,1 crew,12,18.0,TOA1-2,TOA1-2,Kingston Rd,McCowan Rd,Sandown Ave,"Arterial, Sidewalks,",Blower & Loader,153,1530.0,One,2.3,Morningside,
21554249.0,SC,25,23-Feb-25,7:00 pm - 7:00 am,Kim Daniel,,,,TOA 1-1,TOA1-1,Neilson Rd bridge over Hwy 401,Hwy 401 WB Ramps,Hwy 401 EB Ramps,"Arterial, Sidewalks, Bridges",,,,Both - West & East,0.67,Morningside,
